id,title,productImgSrc,detailImgSrc,amount,originalAmount,sale,categoryId,createdAt,updatedAt
89,"돈봉투 골드에디션. 용돈",public/image/product/big/89.jpg,public/image/product/detail/89.jpg,3500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
90,"마스킹테이프 set",public/image/product/big/90.jpg,public/image/product/detail/90.jpg,3900,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
91,"뱃지. 치킨",public/image/product/big/91.jpg,public/image/product/detail/91.jpg,5500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
92,"뱃지. 피자",public/image/product/big/92.jpg,public/image/product/detail/92.jpg,5500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
93,"생활공감 에코백. 제가요",public/image/product/big/93.jpg,public/image/product/detail/93.jpg,15000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
94,"락앤락 X 배달의민족. 용기가 필요해",public/image/product/big/94.jpg,public/image/product/detail/94.jpg,15000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
95,"72초TV. 까마귀상가 법전키트",public/image/product/big/95.jpg,public/image/product/detail/95.jpg,15000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
96,배민다움,public/image/product/big/96.jpg,public/image/product/detail/96.jpg,15000,0,0,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
97,"생활공감 노트. 제가요",public/image/product/big/97.jpg,public/image/product/detail/97.jpg,2500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
98,"이천십칠 배민다이어리",public/image/product/big/98.jpg,public/image/product/detail/98.jpg,2500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
99,"배짱이 1기, 2기 스페셜패키지",public/image/product/big/99.jpg,public/image/product/detail/99.jpg,2500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
100,"제 1회 배민 치믈리에 자격시험",public/image/product/big/100.jpg,public/image/product/detail/100.jpg,2500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
101,"파티컵세트 (10입)",public/image/product/big/101.jpg,public/image/product/detail/101.jpg,3000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
102,"쇼핑백. 뭘 이런걸 다",public/image/product/big/102.jpg,public/image/product/detail/102.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
103,"배민문방구 황금연휴 배송지연공지",public/image/product/big/103.jpg,public/image/product/detail/103.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
104,"오늘은 불닭볶음면이 땡긴다",public/image/product/big/104.jpg,public/image/product/detail/104.jpg,1500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
105,"목욕감 목욕선물세트",public/image/product/big/105.jpg,public/image/product/detail/105.jpg,1500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
106,"이빨청춘 칫솔치약세트",public/image/product/big/106.jpg,public/image/product/detail/106.jpg,1500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
107,"CU X 배달의민족. 여행용세트",public/image/product/big/107.jpg,public/image/product/detail/107.jpg,1500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
108,"2018 일력. 날이면 날마다",public/image/product/big/108.jpg,public/image/product/detail/108.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
109,"레터링시트지. 쉽고, 명확하고, 위트있게",public/image/product/big/109.jpg,public/image/product/detail/109.jpg,4000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
110,"CU X 배달의민족. 방한용품 8종",public/image/product/big/110.jpg,public/image/product/detail/110.jpg,4000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
111,"배민문방구 새해선물세트",public/image/product/big/111.jpg,public/image/product/detail/111.jpg,4000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
112,"똑똑똑 실내홥니다",public/image/product/big/112.jpg,public/image/product/detail/112.jpg,4000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
113,"치약. 이빨청춘",public/image/product/big/113.jpg,public/image/product/detail/113.jpg,4000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
114,"칫솔. 이쓸 때 잘해",public/image/product/big/114.jpg,public/image/product/detail/114.jpg,4000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
115,"세븐일레븐X배달의민족. 웃기는젤리",public/image/product/big/115.jpg,public/image/product/detail/115.jpg,4000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
116,"매거진F No.01 salt 스페셜 패키지",public/image/product/big/116.jpg,public/image/product/detail/116.jpg,4000,0,0,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
